02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	UL_send_msg[11]: '14:09:44.000 RDD      RTDPS [GATES_MGT]: RDD0066 The RTDPS reported an error communicating to the RTE. Error code 3.'

02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Ending (2).
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Beginning...
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Beginning...
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Ending(1).
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Ending.
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Beginning...
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: UL_send_msg Beginning...
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	IPC-write_bytes [6]: error 10054 on write

02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	IPC_so_request_alloc [4]: Error writing msg header

02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	UL_send_msg[5]: ipc error

02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	UL_send_msg[11]: '14:09:45.000 RDD      RTDPS [GATES_MGT]: RDD0066 The RTDPS reported an error communicating to the RTE. Error code 3.'

02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Ending (2).
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Beginning...
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Beginning...
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Ending(1).
02-Mar-2021 14:09:44	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Ending.
02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Beginning...
02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	Detail: UL_send_msg Beginning...
02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	IPC-write_bytes [6]: error 10054 on write

02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	IPC_so_request_alloc [4]: Error writing msg header

02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	UL_send_msg[5]: ipc error

02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	UL_send_msg[11]: '14:09:46.000 RDD      RTDPS [GATES_MGT]: RDD0066 The RTDPS reported an error communicating to the RTE. Error code 3.'

02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Ending (2).
02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Beginning...
02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Beginning...
02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Ending(1).
02-Mar-2021 14:09:45	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Ending.
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Beginning...
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: UL_send_msg Beginning...
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	IPC-write_bytes [6]: error 10054 on write

02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	IPC_so_request_alloc [4]: Error writing msg header

02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	UL_send_msg[5]: ipc error

02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	UL_send_msg[11]: '14:09:47.000 RDD      RTDPS [GATES_MGT]: RDD0066 The RTDPS reported an error communicating to the RTE. Error code 274d.'

02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Ending (2).
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Beginning...
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Beginning...
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Ending(1).
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Ending.
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Beginning...
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: UL_send_msg Beginning...
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	IPC-write_bytes [6]: error 10054 on write

02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	IPC_so_request_alloc [4]: Error writing msg header

02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	UL_send_msg[5]: ipc error

02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	UL_send_msg[11]: '14:09:47.000 RDD      RTDPS [GATES_MGT]: RDD0066 The RTDPS reported an error communicating to the RTE. Error code 3.'

02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Ending (2).
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Beginning...
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Beginning...
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Ending(1).
02-Mar-2021 14:09:46	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Ending.
02-Mar-2021 14:09:47	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Beginning...
02-Mar-2021 14:09:47	KLT	RTDDriver:14400             	Detail: UL_send_msg Beginning...
02-Mar-2021 14:09:47	KLT	RTDDriver:14400             	IPC-write_bytes [6]: error 10054 on write

02-Mar-2021 14:09:47	KLT	RTDDriver:14400             	IPC_so_request_alloc [4]: Error writing msg header

02-Mar-2021 14:09:47	KLT	RTDDriver:14400             	UL_send_msg[5]: ipc error

02-Mar-2021 14:09:47	KLT	RTDDriver:14400             	UL_send_msg[11]: '14:09:48.000 RDD      RTDPS [GATES_MGT]: RDD0066 The RTDPS reported an error communicating to the RTE. Error code 3.'

02-Mar-2021 14:09:47	KLT	RTDDriver:14400             	Detail: CUELProxy::SendMsg Ending (2).
02-Mar-2021 14:09:47	KLT	RTDDriver:14400             	Detail: CUELProxy::ErrorHandle Beginning...
02-Mar-2021 14:09:47	KLT	RTDDriver:14400             	Detail: CUELProxy::CPAdvised Beginning...
